Species,Type,Ability,HP,Atk,Def,SpA,SpD,Spe,Total
641B,Tornadus-T,Flying,Regenerator,79,100,80,110,90,121,580
642A,Thundurus,Electric/Flying,Prankster/Defiant,79,115,70,125,80,111,580
642B,Thundurus-T,Electric/Flying,Volt Absorb,79,105,70,145,80,101,580
643,Reshiram,Dragon/Fire,Turboblaze,100,120,100,150,120,90,680
644,Zekrom,Dragon/Electric,Teravolt,100,150,120,120,100,90,680
645A,Landorus,Ground/Flying,Sand Force/Sheer Force,89,125,90,115,80,101,600
645B,Landorus-T,Ground/Flying,Intimidate,89,145,90,105,80,91,600
646A,Kyurem,Dragon/Ice,Pressure,125,130,90,130,90,95,660
646B,Kyurem-W,Dragon/Ice,Teravolt,125,120,90,170,100,95,700
646C,Kyurem-B,Dragon/Ice,Turboblaze,125,170,100,120,90,95,700
647,Keldeo,Water/Fighting,Justified,91,72,90,129,90,108,580
648A,Meloetta,Normal/Psychic,Serene Grace,100,77,77,128,128,90,600
648B,Meloetta-P,Normal/Fighting,Serene Grace,100,128,90,77,77,128,600
649,Genesect,Bug/Steel,Download,71,120,95,120,95,99,600
